id,pricing,quality,delivery,service,usability,mismatch,packaging
3,0,1,0,0,0,0,0
27,0,1,0,0,1,1,0
32,0,1,0,0,1,1,0
39,0,0,0,0,1,1,0
46,0,1,0,0,1,0,0
57,0,0,0,0,0,1,0
121,0,1,0,0,0,0,0
130,0,0,1,1,0,0,1
173,0,1,0,0,1,0,0
262,0,1,0,0,1,0,0
263,0,0,0,0,1,0,1
270,0,1,0,0,1,0,0
282,0,1,1,0,0,0,1
289,0,1,0,0,0,0,0
290,0,1,0,0,1,0,0
291,0,1,0,0,0,0,0
295,0,0,0,0,1,1,0
361,0,1,0,0,1,1,0
363,1,0,1,0,0,0,0
367,0,0,0,0,1,1,0
372,0,0,0,0,1,0,0
376,0,1,0,0,0,0,0
379,0,0,0,0,1,0,0
387,0,0,0,0,1,0,0
484,0,1,0,0,1,0,0
489,1,0,0,1,1,0,0
512,0,1,0,0,0,0,0
516,0,0,0,0,1,0,0
546,0,0,0,0,0,1,0
549,1,0,0,0,0,1,0
556,0,1,0,0,0,0,0
567,0,1,0,0,0,0,0
570,0,0,0,0,0,1,0
586,0,0,0,0,1,0,0
588,0,1,0,0,1,0,0
591,0,1,0,0,0,0,0
592,0,1,0,0,0,0,1
620,0,1,0,0,0,0,0
621,0,1,0,0,1,0,0
629,0,1,0,0,1,0,0
642,0,1,0,0,1,0,0
651,0,1,0,0,0,0,1
669,0,0,0,0,1,0,0
672,0,0,0,0,1,0,0
684,0,1,0,0,1,0,0
711,1,1,0,0,0,0,0
714,0,1,0,0,0,0,0
716,0,1,0,0,0,0,0
718,0,0,0,0,0,1,0
725,0,0,0,0,1,0,0
741,0,0,0,0,0,1,0
750,0,1,0,0,0,0,0
768,0,1,0,0,1,1,1
769,0,1,0,0,0,0,0
775,0,1,0,0,1,1,0
810,1,0,0,0,0,0,0
854,0,0,0,0,1,0,0
865,0,0,0,0,1,0,0
867,0,1,0,0,0,0,0
869,0,0,0,0,1,0,0
873,0,1,0,0,0,0,0
939,0,0,0,0,1,0,0
948,0,0,0,0,1,0,0
1010,0,0,0,0,1,0,0
1011,0,0,0,0,1,0,0
1015,0,0,0,0,1,0,0
1018,0,1,0,0,0,0,0
1022,0,0,1,0,0,0,1
1037,0,1,1,0,1,0,1
1148,0,1,0,0,1,1,0
1149,0,0,0,0,1,1,0
1191,0,1,0,0,0,0,0
1200,0,0,0,0,1,0,0
1207,0,0,0,0,1,0,0
1210,0,1,0,0,0,0,0
1213,0,1,0,0,0,0,0
1219,0,1,0,0,1,0,0
1261,1,1,0,0,0,0,0
1265,0,0,0,0,1,0,0
1281,0,0,0,0,1,0,0
1290,0,0,1,0,0,0,0
1301,0,1,0,0,0,0,0
1304,0,1,0,0,1,0,0
1372,0,1,0,0,0,0,0
1385,0,0,0,0,1,0,0
1393,0,1,0,0,0,0,0
1402,0,1,0,0,0,0,0
1422,0,1,0,0,0,0,0
1429,0,0,1,0,0,0,1
1450,0,0,0,0,0,1,0
1451,0,1,1,0,0,0,1
1480,0,0,0,1,0,1,0
1485,0,1,0,1,0,1,0
1500,0,1,0,0,0,0,0
1504,0,0,0,0,0,1,0
1522,0,1,0,0,0,0,0
1554,0,1,0,0,0,0,0
1567,0,1,0,0,0,0,0
1571,0,1,0,0,0,0,0
1579,0,0,0,0,1,0,0
